cat	url	lab
Cooling towers	https://www.europages.co.uk/companies/pg-{}/cooling%20towers.html	34.0
Cranes and gantries	https://www.europages.co.uk/companies/pg-{}/cranes%20and%20gantries.html	34.0
Crushing and grinding machinery	https://www.europages.co.uk/companies/pg-{}/crushing%20and%20grinding%20machinery.html	34.0
Cutting - machine tools	https://www.europages.co.uk/companies/pg-{}/cutting%20-%20machine%20tools.html	34.0
Dairies - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/dairies%20-%20machinery%20and%20equipment.html	34.0
Diamond tools	https://www.europages.co.uk/companies/pg-{}/diamond%20tools.html	34.0
Drilling and test boring - equipment	https://www.europages.co.uk/companies/pg-{}/drilling%20and%20test%20boring%20-%20equipment.html	34.0
Electric and electronic components -...	https://www.europages.co.uk/companies/pg-{}/electric%20and%20electronic%20components%20-%20machines%20for%20manufacturing.html	34.0
Energy - production plants and equipment	https://www.europages.co.uk/companies/pg-{}/energy%20-%20production%20plants%20and%20equipment.html	34.0
Energy sources, alternative - equipment and...	https://www.europages.co.uk/companies/pg-{}/energy%20sources,%20alternative%20-%20equipment%20and%20systems.html	34.0
Engines & Parts	https://www.europages.co.uk/companies/pg-{}/engines%20&%20parts.html	34.0
Engines, internal combustion	https://www.europages.co.uk/companies/pg-{}/engines,%20internal%20combustion.html	34.0
Engines, internal combustion - components...	https://www.europages.co.uk/companies/pg-{}/engines,%20internal%20combustion%20-%20components%20and%20parts.html	34.0
Environmental protection - machines and...	https://www.europages.co.uk/companies/pg-{}/environmental%20protection%20-%20machines%20and%20equipment.html	34.0
Fastening devices - machines for production	https://www.europages.co.uk/companies/pg-{}/fastening%20devices%20-%20machines%20for%20production.html	34.0
Filtering equipment and supplies	https://www.europages.co.uk/companies/pg-{}/filtering%20equipment%20and%20supplies.html	34.0
Fire protection equipment	https://www.europages.co.uk/companies/pg-{}/fire%20protection%20equipment.html	34.0
Food canning and preserving - machinery and...	https://www.europages.co.uk/companies/pg-{}/food%20canning%20and%20preserving%20-%20machinery%20and%20equipment.html	34.0
Food industry - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/food%20industry%20-%20machinery%20and%20equipment.html	34.0
Garages and service stations - equipment and...	https://www.europages.co.uk/companies/pg-{}/garages%20and%20service%20stations%20-%20equipment%20and%20installations.html	34.0
Gardening and horticulture - machinery and...	https://www.europages.co.uk/companies/pg-{}/gardening%20and%20horticulture%20-%20machinery%20and%20equipment.html	34.0
Glass and ceramic manufacturing - machinery...	https://www.europages.co.uk/companies/pg-{}/glass%20and%20ceramic%20manufacturing%20-%20machinery%20and%20equipment.html	34.0
Goods handling systems, continuous	https://www.europages.co.uk/companies/pg-{}/goods%20handling%20systems,%20continuous.html	34.0
Greenhouses and glazing units	https://www.europages.co.uk/companies/pg-{}/greenhouses%20and%20glazing%20units.html	34.0
Handling - Machines & Equipment	https://www.europages.co.uk/companies/pg-{}/handling%20-%20machines%20&%20equipment.html	34.0
Handling of goods - motorized vehicles	https://www.europages.co.uk/companies/pg-{}/handling%20of%20goods%20-%20motorized%20vehicles.html	34.0
Handling of goods - rolling equipment	https://www.europages.co.uk/companies/pg-{}/handling%20of%20goods%20-%20rolling%20equipment.html	34.0
Heat exchangers	https://www.europages.co.uk/companies/pg-{}/heat%20exchangers.html	34.0
Heating, domestic - installations and...	https://www.europages.co.uk/companies/pg-{}/heating,%20domestic%20-%20installations%20and%20equipment.html	34.0
Heating, industrial - installations and...	https://www.europages.co.uk/companies/pg-{}/heating,%20industrial%20-%20installations%20and%20equipment.html	34.0
Hotels, bars, cafés and restaurants -...	https://www.europages.co.uk/companies/pg-{}/hotels,%20bars,%20caf%C3%A9s%20and%20restaurants%20-%20machinery%20and%20equipment.html	34.0
Hydraulic equipment	https://www.europages.co.uk/companies/pg-{}/hydraulic%20equipment.html	34.0
Import-export - mechanical engineering	https://www.europages.co.uk/companies/pg-{}/import-export%20-%20mechanical%20engineering.html	34.0
Iron and steel industry and foundries -...	https://www.europages.co.uk/companies/pg-{}/iron%20and%20steel%20industry%20and%20foundries%20-%20machinery%20and%20installations.html	34.0
Irrigation and sprinkling systems	https://www.europages.co.uk/companies/pg-{}/irrigation%20and%20sprinkling%20systems.html	34.0
Jeweller's, watchmaker's, gold- and...	https://www.europages.co.uk/companies/pg-{}/jeweller%27s,%20watchmaker%27s,%20gold-%20and%20silversmith%27s%20machinery%20and%20equipment.html	34.0
Laundry and dry cleaning machinery and...	https://www.europages.co.uk/companies/pg-{}/laundry%20and%20dry%20cleaning%20machinery%20and%20equipment.html	34.0
Leather and skins - industrial machinery	https://www.europages.co.uk/companies/pg-{}/leather%20and%20skins%20-%20industrial%20machinery.html	34.0
Lifting equipment	https://www.europages.co.uk/companies/pg-{}/lifting%20equipment.html	34.0
Lifting equipment - accessories	https://www.europages.co.uk/companies/pg-{}/lifting%20equipment%20-%20accessories.html	34.0
Lifts and escalators	https://www.europages.co.uk/companies/pg-{}/lifts%20and%20escalators.html	34.0
Livestock raising - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/livestock%20raising%20-%20machinery%20and%20equipment.html	34.0
Locks, bolts and keys - manufacturing...	https://www.europages.co.uk/companies/pg-{}/locks,%20bolts%20and%20keys%20-%20manufacturing%20machinery.html	34.0
Lubrication equipment and machinery	https://www.europages.co.uk/companies/pg-{}/lubrication%20equipment%20and%20machinery.html	34.0
Machine tools - metal machining	https://www.europages.co.uk/companies/pg-{}/machine%20tools%20-%20metal%20machining.html	34.0
Machine tools - metal shaping	https://www.europages.co.uk/companies/pg-{}/machine%20tools%20-%20metal%20shaping.html	34.0
Machine tools, cutting - parts and...	https://www.europages.co.uk/companies/pg-{}/machine%20tools,%20cutting%20-%20parts%20and%20accessories.html	34.0
Machine tools, metal machining - parts and...	https://www.europages.co.uk/companies/pg-{}/machine%20tools,%20metal%20machining%20-%20parts%20and%20accessories.html	34.0
Machine tools, metal shaping - parts and...	https://www.europages.co.uk/companies/pg-{}/machine%20tools,%20metal%20shaping%20-%20parts%20and%20accessories.html	34.0
Machinery and equipment, used and...	https://www.europages.co.uk/companies/pg-{}/machinery%20and%20equipment,%20used%20and%20reconditioned.html	34.0
Marking and labelling machinery	https://www.europages.co.uk/companies/pg-{}/marking%20and%20labelling%20machinery.html	34.0
Meats, butchery and delicatessen - machinery...	https://www.europages.co.uk/companies/pg-{}/meats,%20butchery%20and%20delicatessen%20-%20machinery%20and%20equipment.html	34.0
Mechanical engineering - custom work	https://www.europages.co.uk/companies/pg-{}/mechanical%20engineering%20-%20custom%20work.html	34.0
Mechanical transmission systems and...	https://www.europages.co.uk/companies/pg-{}/mechanical%20transmission%20systems%20and%20components.html	34.0
Metal joinery, wrought-iron - machinery and...	https://www.europages.co.uk/companies/pg-{}/metal%20joinery,%20wrought-iron%20-%20machinery%20and%20equipment.html	34.0
Metals - Machines & Equipment	https://www.europages.co.uk/companies/pg-{}/metals%20-%20machines%20&%20equipment.html	34.0
Mining and quarrying - machinery and...	https://www.europages.co.uk/companies/pg-{}/mining%20and%20quarrying%20-%20machinery%20and%20equipment.html	34.0
Ovens, kilns, furnaces and hearths,...	https://www.europages.co.uk/companies/pg-{}/ovens,%20kilns,%20furnaces%20and%20hearths,%20industrial.html	34.0
Packing and packaging - machinery and...	https://www.europages.co.uk/companies/pg-{}/packing%20and%20packaging%20-%20machinery%20and%20equipment.html	34.0
Painting machinery and equipment	https://www.europages.co.uk/companies/pg-{}/painting%20machinery%20and%20equipment.html	34.0
Paper - Printing - Machines & Equipment	https://www.europages.co.uk/companies/pg-{}/paper%20-%20printing%20-%20machines%20&%20equipment.html	34.0
Paper and cardboard manufacturing -...	https://www.europages.co.uk/companies/pg-{}/paper%20and%20cardboard%20manufacturing%20-%20machinery%20and%20equipment.html	34.0
Pest control - machines and equipment	https://www.europages.co.uk/companies/pg-{}/pest%20control%20-%20machines%20and%20equipment.html	34.0
Petrochemical industry - installations and...	https://www.europages.co.uk/companies/pg-{}/petrochemical%20industry%20-%20installations%20and%20equipment.html	34.0
Plastics - industrial machinery and equipment	https://www.europages.co.uk/companies/pg-{}/plastics%20-%20industrial%20machinery%20and%20equipment.html	34.0
Pneumatic systems and tools	https://www.europages.co.uk/companies/pg-{}/pneumatic%20systems%20and%20tools.html	34.0
Printing and setting - machinery and...	https://www.europages.co.uk/companies/pg-{}/printing%20and%20setting%20-%20machinery%20and%20equipment.html	34.0
Pumps	https://www.europages.co.uk/companies/pg-{}/pumps.html	34.0
Refrigeration plants and equipment,...	https://www.europages.co.uk/companies/pg-{}/refrigeration%20plants%20and%20equipment,%20commercial%20and%20industrial.html	34.0
Reprographics - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/reprographics%20-%20machinery%20and%20equipment.html	34.0
Road, beach and ski-slope maintenance -...	https://www.europages.co.uk/companies/pg-{}/road,%20beach%20and%20ski-slope%20maintenance%20-%20machinery%20and%20equipment.html	34.0
Rubber - industrial machinery and equipment	https://www.europages.co.uk/companies/pg-{}/rubber%20-%20industrial%20machinery%20and%20equipment.html	34.0
Safety equipment, work	https://www.europages.co.uk/companies/pg-{}/safety%20equipment,%20work.html	34.0
Seals and packing material	https://www.europages.co.uk/companies/pg-{}/seals%20and%20packing%20material.html	34.0
Ski lifts, chair lifts and cable cars	https://www.europages.co.uk/companies/pg-{}/ski%20lifts,%20chair%20lifts%20and%20cable%20cars.html	34.0
Speed variators and reducers	https://www.europages.co.uk/companies/pg-{}/speed%20variators%20and%20reducers.html	34.0
Storage and collection of waste - equipment	https://www.europages.co.uk/companies/pg-{}/storage%20and%20collection%20of%20waste%20-%20equipment.html	34.0
Storage equipment and systems	https://www.europages.co.uk/companies/pg-{}/storage%20equipment%20and%20systems.html	34.0
Surface treatment - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/surface%20treatment%20-%20machinery%20and%20equipment.html	34.0
Textiles - finishing, printing and dyeing...	https://www.europages.co.uk/companies/pg-{}/textiles%20-%20finishing,%20printing%20and%20dyeing%20machinery.html	34.0
Textiles - preparation, spinning and weaving...	https://www.europages.co.uk/companies/pg-{}/textiles%20-%20preparation,%20spinning%20and%20weaving%20machinery.html	34.0
Tobacco industry - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/tobacco%20industry%20-%20machinery%20and%20equipment.html	34.0
Tractors and trailers, agricultural	https://www.europages.co.uk/companies/pg-{}/tractors%20and%20trailers,%20agricultural.html	34.0
Turbines	https://www.europages.co.uk/companies/pg-{}/turbines.html	34.0
Waste treatment and recycling - machines and...	https://www.europages.co.uk/companies/pg-{}/waste%20treatment%20and%20recycling%20-%20machines%20and%20installations.html	34.0
Water treatment, industrial - systems and...	https://www.europages.co.uk/companies/pg-{}/water%20treatment,%20industrial%20-%20systems%20and%20equipment.html	34.0
Welding, soldering and brazing - equipment...	https://www.europages.co.uk/companies/pg-{}/welding,%20soldering%20and%20brazing%20-%20equipment%20and%20supplies.html	34.0
Woodworking - machinery and equipment	https://www.europages.co.uk/companies/pg-{}/woodworking%20-%20machinery%20and%20equipment.html	34.0
Aeronautical equipment manufacturers	https://www.europages.co.uk/companies/pg-{}/aeronautical%20equipment%20manufacturers.html	32.0
Aerospace and aeronautics - construction	https://www.europages.co.uk/companies/pg-{}/aerospace%20and%20aeronautics%20-%20construction.html	32.0
Bicycles, accessories and parts	https://www.europages.co.uk/companies/pg-{}/bicycles,%20accessories%20and%20parts.html	32.0
Boats	https://www.europages.co.uk/companies/pg-{}/boats.html	32.0
Buses and coaches	https://www.europages.co.uk/companies/pg-{}/buses%20and%20coaches.html	32.0
Camping and caravans - vehicles, parts and...	https://www.europages.co.uk/companies/pg-{}/camping%20and%20caravans%20-%20vehicles,%20parts%20and%20accessories.html	32.0
