cat	url	lab
Pet Boarding	https://www.yellowpages.com/houston-tx/pet-boarding	53.0
Pet Cemeteries	https://www.yellowpages.com/houston-tx/pet-cemeteries	53.0
Pet Grooming	https://www.yellowpages.com/houston-tx/pet-grooming	53.0
Veterinary Clinics	https://www.yellowpages.com/houston-tx/veterinary-clinics	53.0
Massage	https://www.yellowpages.com/houston-tx/massage	39.0
Barber Shops	https://www.yellowpages.com/houston-tx/barber-shops	39.0
Nail Salons	https://www.yellowpages.com/houston-tx/nail-salons	39.0
Beauty Supplies	https://www.yellowpages.com/houston-tx/beauty-supplies	39.0
Hair Removal	https://www.yellowpages.com/houston-tx/hair-removal	39.0
Hair Stylists	https://www.yellowpages.com/houston-tx/hair-stylists	39.0
Facial Salons	https://www.yellowpages.com/houston-tx/facial-salons	39.0
Beauty Salons	https://www.yellowpages.com/houston-tx/beauty-salons	39.0
Day Spas	https://www.yellowpages.com/houston-tx/day-spas	39.0
Hair Supplies	https://www.yellowpages.com/houston-tx/hair-supplies	39.0
Storage Units	https://www.yellowpages.com/san-antonio-tx/storage-units	53.0
Plumbers	https://www.yellowpages.com/san-antonio-tx/plumbers	53.0
Electricians	https://www.yellowpages.com/san-antonio-tx/electricians	53.0
Carpet Cleaning	https://www.yellowpages.com/san-antonio-tx/carpet-cleaning	53.0
Moving Companies	https://www.yellowpages.com/san-antonio-tx/moving-companies	34.0
Pest Control Services	https://www.yellowpages.com/san-antonio-tx/pest-control-services	53.0
Self Storage	https://www.yellowpages.com/san-antonio-tx/self-storage	53.0
Appliance Repair	https://www.yellowpages.com/san-antonio-tx/appliance-repair	53.0
Garage Door Repair	https://www.yellowpages.com/san-antonio-tx/garage-door-repair	53.0
Appliance Parts	https://www.yellowpages.com/san-antonio-tx/appliance-parts	34.0
Cleaning Services	https://www.yellowpages.com/san-antonio-tx/cleaning-services	34.0
Lawn Mower Repair	https://www.yellowpages.com/san-antonio-tx/lawn-mower-repair	34.0
Moving Truck Rental	https://www.yellowpages.com/san-antonio-tx/moving-truck-rental	32.0
AC Repair	https://www.yellowpages.com/san-antonio-tx/ac-repair	34.0
Home Security System Installation	https://www.yellowpages.com/san-antonio-tx/home-security-system-installation	53.0
Garden Centers	https://www.yellowpages.com/san-antonio-tx/garden-centers	53.0
Refrigerator Repair	https://www.yellowpages.com/san-antonio-tx/refrigerator-repair	53.0
Plant Nurseries	https://www.yellowpages.com/san-antonio-tx/plant-nurseries	53.0
Tree Service	https://www.yellowpages.com/san-antonio-tx/tree-service	53.0
General Contractors	https://www.yellowpages.com/san-antonio-tx/general-contractors	53.0
Dentists	https://www.yellowpages.com/san-antonio-tx/dentists	39.0
Dermatologists	https://www.yellowpages.com/san-antonio-tx/dermatologists	39.0
Optometrists	https://www.yellowpages.com/san-antonio-tx/optometrists	39.0
Physical Therapy	https://www.yellowpages.com/san-antonio-tx/physical-therapy	39.0
Hospitals	https://www.yellowpages.com/san-antonio-tx/hospitals	39.0
Endocrinologists	https://www.yellowpages.com/san-antonio-tx/endocrinologists	39.0
Gynecologists	https://www.yellowpages.com/san-antonio-tx/gynecologists	39.0
Podiatrists	https://www.yellowpages.com/san-antonio-tx/podiatrists	39.0
Neurologists	https://www.yellowpages.com/san-antonio-tx/neurologists	39.0
Ophthalmologists	https://www.yellowpages.com/san-antonio-tx/ophthalmologists	39.0
Gastroenterologists	https://www.yellowpages.com/san-antonio-tx/gastroenterologists	39.0
Pediatricians	https://www.yellowpages.com/san-antonio-tx/pediatricians	39.0
Orthodontists	https://www.yellowpages.com/san-antonio-tx/orthodontists	39.0
Urologists	https://www.yellowpages.com/san-antonio-tx/urologists	39.0
Rheumatologists	https://www.yellowpages.com/san-antonio-tx/rheumatologists	39.0
Obgyn	https://www.yellowpages.com/san-antonio-tx/obgyn	39.0
Physicians	https://www.yellowpages.com/san-antonio-tx/physicians	39.0
Cardiologists	https://www.yellowpages.com/san-antonio-tx/cardiologists	39.0
Radiology	https://www.yellowpages.com/san-antonio-tx/radiology	39.0
Pediatric Dentists	https://www.yellowpages.com/san-antonio-tx/pediatric-dentists	39.0
Auto Parts	https://www.yellowpages.com/san-antonio-tx/auto-parts	32.0
Oil Change	https://www.yellowpages.com/san-antonio-tx/oil-change	32.0
Tire Shops	https://www.yellowpages.com/san-antonio-tx/tire-shops	32.0
Auto Repair	https://www.yellowpages.com/san-antonio-tx/auto-repair	32.0
Window Tinting	https://www.yellowpages.com/san-antonio-tx/window-tinting	32.0
Towing	https://www.yellowpages.com/san-antonio-tx/towing	32.0
Auto Body Shops	https://www.yellowpages.com/san-antonio-tx/auto-body-shops	32.0
Car Detailing	https://www.yellowpages.com/san-antonio-tx/car-detailing	32.0
Roadside Assistance	https://www.yellowpages.com/san-antonio-tx/roadside-assistance	32.0
Auto Glass Repair	https://www.yellowpages.com/san-antonio-tx/auto-glass-repair	32.0
Tire Repair	https://www.yellowpages.com/san-antonio-tx/tire-repair	32.0
Auto Salvage	https://www.yellowpages.com/san-antonio-tx/auto-salvage	32.0
Auto Glass	https://www.yellowpages.com/san-antonio-tx/auto-glass	32.0
Car Accessories	https://www.yellowpages.com/san-antonio-tx/car-accessories	32.0
Wheel Alignment	https://www.yellowpages.com/san-antonio-tx/wheel-alignment	32.0
Used Car Parts	https://www.yellowpages.com/san-antonio-tx/used-car-parts	32.0
Car Transport	https://www.yellowpages.com/san-antonio-tx/car-transport	32.0
Paintless Dent Repair	https://www.yellowpages.com/san-antonio-tx/paintless-dent-repair	32.0
Radiator Repair	https://www.yellowpages.com/san-antonio-tx/radiator-repair	32.0
Car Alarm Installation	https://www.yellowpages.com/san-antonio-tx/car-alarm-installation	32.0
Bail Bonds	https://www.yellowpages.com/san-antonio-tx/bail-bonds	43.0
Private Investigators	https://www.yellowpages.com/san-antonio-tx/private-investigators	43.0
